factor,ic_mean,ic_std,t_stat,icir,n_days,significant
QTLD60,0.029215858445284005,0.19326980644934172,6.332762492650224,0.1511661804915287,1755,True
RANK5,-0.01091481211115112,0.16271423582809688,-2.853842495809391,-0.0670796384569714,1810,True
RANK10,-0.006150292804896726,0.16939117436701837,-1.5425655087915724,-0.036308224604257956,1805,False
RANK20,-0.006324599201544916,0.17783379982847766,-1.506783747141435,-0.035564663228503525,1795,False
RANK30,-0.009398839054267874,0.18342340939194038,-2.1649035937905765,-0.05124121880312655,1785,True
RANK60,-0.008554003254586509,0.1887572534401739,-1.8984725504085518,-0.04531748104343803,1755,False
RSV5,-0.003355268108595182,0.1661885416117598,-0.8589451656194523,-0.020189527364850267,1810,False
RSV10,0.0007955136041911324,0.17157486489040716,0.1969847241059205,0.0046365393013671555,1805,False
RSV20,-0.0004858380583374039,0.17735724894426275,-0.11605792866383506,-0.002739318867592979,1795,False
RSV30,-0.004842700734819882,0.18486905254918348,-1.1067321507536365,-0.026195302394009436,1785,False
RSV60,-0.006985434823437156,0.19266990296318212,-1.5188613351285005,-0.036255973122963706,1755,False
IMAX5,-0.0062665152157585615,0.14373126860221436,-1.8548727762888058,-0.04359883048901175,1810,False
IMAX10,-0.003467656533548392,0.15020942803609402,-0.9807932885922009,-0.023085478580712953,1805,False
IMAX20,-0.010027959509345234,0.1569724428222481,-2.7065831969704357,-0.06388356662513471,1795,True
IMAX30,-0.018246785289382783,0.15892749085506946,-4.850722666466423,-0.11481201390150021,1785,True
IMAX60,-0.008406902679836292,0.16384490553613612,-2.1495207311150715,-0.051310125586920635,1755,True
IMIN5,0.009065999104836653,0.14439591231787952,2.6711609693856304,0.06278570465954994,1810,True
IMIN10,0.0024108688172144524,0.1529512704099181,0.6696673023237129,0.015762332740049737,1805,False
IMIN20,0.010047128783509019,0.15469633875498429,2.7516561324930606,0.06494742451159208,1795,True
IMIN30,0.015423562663935813,0.1589539418634351,4.099515286325707,0.09703164629403736,1785,True
IMIN60,0.013835966216224928,0.16175559747199558,3.5833459212617154,0.08553624376813496,1755,True
IMXD5,-0.009595034440245164,0.15504830313765214,-2.6328056889954348,-0.06188416284521783,1810,True
IMXD10,-0.0021761981164843854,0.164736513485526,-0.5612381222726259,-0.013210174662799267,1805,False
IMXD20,-0.01285050668436521,0.16882977768778035,-3.2248047862110427,-0.07611516676951302,1795,True
IMXD30,-0.020591265810354344,0.17418672426732393,-4.994443484641403,-0.11821374962395514,1785,True
IMXD60,-0.014369618365244651,0.17957925320750806,-3.352182336304049,-0.08001825438398621,1755,True
CORR5,-0.01664186488815304,0.12304031981508161,-5.754317593245536,-0.13525537736868895,1810,True
CORR10,-0.02613211480815137,0.13720483625077445,-8.091773929900265,-0.19046059542965904,1805,True
CORR20,-0.025513749746258692,0.15258639441122385,-7.084198260960381,-0.16720854991499798,1795,True
CORR30,-0.023379989993099277,0.15873232454057146,-6.222974980200658,-0.1472919272162705,1785,True
CORR60,-0.006530272559969219,0.16265062205520228,-1.6819541006310774,-0.04014907829711772,1755,False
CORD5,-0.011763515967708131,0.12860621317137,-3.8914771366413285,-0.09146926635677424,1810,True
CORD10,-0.015210211434068881,0.13653493773011666,-4.732929742371641,-0.11140160670182689,1805,True
CORD20,-0.02675115623338089,0.1438733181864737,-7.877610871326736,-0.18593549221342634,1795,True
CORD30,-0.030509521857143958,0.14654636368393137,-8.79588342998748,-0.20819023475018705,1785,True
CORD60,-0.026310620263631335,0.14947188597809272,-7.374118844977608,-0.17602387292743157,1755,True
CNTP5,-0.007579714677832893,0.1431909162969247,-2.252042992256043,-0.052934326239769174,1810,True
CNTP10,-0.004965832142861287,0.14136857609152087,-1.4923742766776613,-0.035126845584456105,1805,False
CNTP20,-0.009817028052443224,0.14690076026996401,-2.831315164414528,-0.06682761909742449,1795,True
CNTP30,-0.01161450327461916,0.15184548903952932,-3.2316019117353494,-0.07648895826991346,1785,True
CNTP60,-0.0014894004468518293,0.15750810629313744,-0.3961385705906715,-0.009456024086023323,1755,False
CNTN5,0.003507175532460636,0.15122944968885366,0.9866438616507344,0.02319108837383498,1810,False
CNTN10,-0.00033316018243621353,0.15241097286296482,-0.09287000289588698,-0.002185933047850585,1805,False
CNTN20,0.003755366356078747,0.15810471361263428,1.006328377995909,0.02375239972465092,1795,False
CNTN30,0.005492997980393899,0.16439397897387958,1.4117007399925765,0.0334136202230781,1785,False
CNTN60,-0.002240948805041218,0.175662919610756,-0.5344294705234416,-0.012757096432228505,1755,False
CNTD5,-0.005969759571454314,0.14852678662140478,-1.7099812279893856,-0.04019315106218011,1810,False
CNTD10,-0.0023159501077834902,0.14798779025706285,-0.6648779296293276,-0.015649602604110507,1805,False
CNTD20,-0.007557206318383877,0.15480857595856917,-2.0682283637242476,-0.048816457819535676,1795,True
CNTD30,-0.008996118953614376,0.1610945944360101,-2.359355216905188,-0.0558437046575626,1785,True
CNTD60,-0.001275898187843833,0.17514864102795102,-0.3051741959610941,-0.007284659363358802,1755,False
SUMP5,-0.004523312744780378,0.16915077027195707,-1.1373703953938858,-0.026741307399947928,1809,False
SUMP10,-0.00258574617911146,0.17815253093786013,-0.6164703048728352,-0.014514226463688985,1804,False
SUMP20,-0.01230250104013983,0.18621743199489368,-2.798235722329486,-0.06606524914636981,1794,True
SUMP30,-0.019227704249272518,0.1917268271934132,-4.235863660618552,-0.10028697877462757,1784,True
SUMP60,-0.008950006864131374,0.1970683068615821,-1.902047584059433,-0.04541575967574394,1754,False
SUMN5,0.004368748447979726,0.17218644689715548,1.0791389246486298,0.025372196980109108,1809,False
SUMN10,0.003123901330933839,0.18082334091900823,0.7337719158201329,0.017275985030787876,1804,False
SUMN20,0.013205897304533715,0.18801378768375707,2.9750168943140722,0.07023898335980709,1794,True
SUMN30,0.02099444318498501,0.19306263276381097,4.59307525850249,0.10874420846974153,1784,True
SUMN60,0.015628739742175705,0.19623885808749353,3.335444707234094,0.07964141197360411,1754,True
SUMD5,-0.005122443499296225,0.171451305024074,-1.2707369697275854,-0.029876958350226423,1809,False
SUMD10,-0.002978430653679565,0.18021590420909614,-0.7019604510342073,-0.016527013344082166,1804,False
SUMD20,-0.01344569372086953,0.18908053205363048,-3.0119490279749845,-0.07111093656673134,1794,True
SUMD30,-0.020387773880123503,0.19497238941309555,-4.416661537176241,-0.10456749256391959,1784,True
SUMD60,-0.013943635452895951,0.20223965581664913,-2.887516648621002,-0.06894609959946371,1754,True
VMA5,-0.0010287950822358593,0.12073589619977251,-0.36251982101134406,-0.008521037360203052,1810,False
VMA10,-0.0027425173482806754,0.12423804243004619,-0.9378500087840586,-0.02207469865620979,1805,False
VMA20,-0.002395973545867437,0.12860066636107842,-0.7893525679602299,-0.01863111299237085,1795,False
VMA30,0.0009809411523188445,0.13121425560101296,0.3158501181224601,0.007475873317466518,1785,False
VMA60,0.011559411117798664,0.13189811411280797,3.671433652390883,0.08763894158420106,1755,True
VSTD5,-0.005299676460029143,0.10310933944186947,-2.18670722554156,-0.05139860742699231,1810,True
VSTD10,-0.009732727969592915,0.10730614837212313,-3.8534398248084343,-0.09070056205764779,1805,True
VSTD20,-0.011116512736674782,0.11915956816035746,-3.9524999738141737,-0.09329097871280365,1795,True
